# Pepsi-SAXS version 3.5 from July 2022
# Run at ip78-122.eduroam-employee.wireless.lu.se on Fri Sep 26 10:58:13 2025
# Command-line arguments: /Users/isabelvinterbladh/Documents/GitLab/pepsi/build-isabel-macbookpro/Debug/Pepsi-SAXS /Users/isabelvinterbladh/Documents/GitLab/ala.pdb 
# Intensities are written in cm-1
# r0:   1.61 d_rho:   0.06
#     q                   I                 Iat                 Iev                 Ihs            <AatAev>            <AatAhs>            <AevAhs>
0.000000          1.30378761e-04      9.70854605e-04      5.67539930e-04      1.66701432e-05     -1.48458581e-03      2.54434945e-04     -1.94535055e-04
0.005000          1.30253714e-04      9.70574790e-04      5.67231142e-04      1.66004897e-05     -1.48395211e-03      2.53869468e-04     -1.94070069e-04
0.010000          1.30127512e-04      9.70291990e-04      5.66919119e-04      1.65302651e-05     -1.48331172e-03      2.53298497e-04     -1.93600642e-04
0.015000          1.29999001e-04      9.70003218e-04      5.66600628e-04      1.64588985e-05     -1.48265794e-03      2.52716535e-04     -1.93122336e-04
0.020000          1.29867025e-04      9.69705488e-04      5.66272434e-04      1.63858187e-05     -1.48198409e-03      2.52118088e-04     -1.92630709e-04
0.025000          1.29730430e-04      9.69395814e-04      5.65931303e-04      1.63104547e-05     -1.48128348e-03      2.51497661e-04     -1.92121322e-04
0.030000          1.29588062e-04      9.69071211e-04      5.65574001e-04      1.62322355e-05     -1.48054941e-03      2.50849759e-04     -1.91589735e-04
0.035000          1.29438764e-04      9.68728693e-04      5.65197293e-04      1.61505899e-05     -1.47977519e-03      2.50168887e-04     -1.91031507e-04
0.040000          1.29281383e-04      9.68365273e-04      5.64797946e-04      1.60649471e-05     -1.47895413e-03      2.49449549e-04     -1.90442199e-04
0.045000          1.29114763e-04      9.67977966e-04      5.64372724e-04      1.59747358e-05     -1.47807954e-03      2.48686252e-04     -1.89817370e-04
0.050000          1.28937751e-04      9.67563785e-04      5.63918394e-04      1.58793851e-05     -1.47714473e-03      2.47873498e-04     -1.89152580e-04
0.055000          1.28749190e-04      9.67119746e-04      5.63431721e-04      1.57783239e-05     -1.47614301e-03      2.47005795e-04     -1.88443389e-04
0.060000          1.28547927e-04      9.66642862e-04      5.62909471e-04      1.56709812e-05     -1.47506767e-03      2.46077646e-04     -1.87685358e-04
0.065000          1.28332807e-04      9.66130147e-04      5.62348410e-04      1.55567859e-05     -1.47391205e-03      2.45083556e-04     -1.86874046e-04
0.070000          1.28102674e-04      9.65578615e-04      5.61745304e-04      1.54351670e-05     -1.47266943e-03      2.44018031e-04     -1.86005012e-04
0.075000          1.27856374e-04      9.64985280e-04      5.61096918e-04      1.53055534e-05     -1.47133313e-03      2.42875575e-04     -1.85073818e-04
0.080000          1.27592752e-04      9.64347157e-04      5.60400017e-04      1.51673741e-05     -1.46989647e-03      2.41650694e-04     -1.84076022e-04
0.085000          1.27310654e-04      9.63661259e-04      5.59651369e-04      1.50200580e-05     -1.46835274e-03      2.40337893e-04     -1.83007185e-04
0.090000          1.27008924e-04      9.62924601e-04      5.58847738e-04      1.48630341e-05     -1.46669526e-03      2.38931675e-04     -1.81862867e-04
0.095000          1.26686408e-04      9.62134196e-04      5.57985890e-04      1.46957312e-05     -1.46491733e-03      2.37426547e-04     -1.80638628e-04
0.100000          1.26341950e-04      9.61287060e-04      5.57062591e-04      1.45175785e-05     -1.46301227e-03      2.35817013e-04     -1.79330026e-04
