# Pepsi-SAXS version 2.6 from 29 Jan 2020
# Run at isabelsmacbookpro.local on Thu Oct 16 14:26:21 2025
# Command-line arguments: /Users/isabelvinterbladh/Downloads/Pepsi-SAXS SASDAJ6_fit1_model1.pdb 
# Intensities are written in cm-1
# r0:   1.62 d_rho:   0.06
#     q                   I                 Iat                 Iev                 Ihs            <AatAev>            <AatAhs>            <AevAhs>
0.000000          1.28166039e-01      2.43369004e+00      1.49918723e+00      5.01177806e-04     -3.82023927e+00      6.98487347e-02     -5.48218703e-02
0.005000          1.24691218e-01      2.36978213e+00      1.45992400e+00      4.83280951e-04     -3.72005362e+00      6.76611424e-02     -5.31057177e-02
0.010000          1.17707529e-01      2.24107524e+00      1.38083702e+00      4.47983156e-04     -3.51826889e+00      6.33021243e-02     -4.96859524e-02
0.015000          1.05611225e-01      2.01768825e+00      1.24354870e+00      3.87973615e-04     -3.16801712e+00      5.58163496e-02     -4.38129166e-02
0.020000          9.05184517e-02      1.73792624e+00      1.07156096e+00      3.15622878e-04     -2.72930754e+00      4.66220044e-02     -3.65988419e-02
0.025000          7.43820084e-02      1.43725911e+00      8.86640869e-01      2.41948543e-04     -2.25771353e+00      3.70091539e-02     -2.90555480e-02
0.030000          5.85276722e-02      1.13987656e+00      7.03636498e-01      1.74024661e-04     -1.79113923e+00      2.78361440e-02     -2.18563178e-02
0.035000          4.41333740e-02      8.67719879e-01      5.36037989e-01      1.16996164e-04     -1.36399369e+00      1.98015673e-02     -1.55493709e-02
0.040000          3.21622390e-02      6.39098336e-01      3.95120882e-01      7.41724684e-05     -1.00501340e+00      1.34245896e-02     -1.05423421e-02
0.045000          2.29400805e-02      4.60906193e-01      2.85166816e-01      4.50704535e-05     -7.25064363e-01      8.78360136e-03     -6.89723784e-03
0.050000          1.64402958e-02      3.33561596e-01      2.06482211e-01      2.75747252e-05     -5.24864747e-01      5.73759611e-03     -4.50393557e-03
0.055000          1.22512584e-02      2.50234422e-01      1.54916658e-01      1.82706158e-05     -3.93765325e-01      3.93145789e-03     -3.08422492e-03
0.060000          9.82533911e-03      2.01242648e-01      1.24551160e-01      1.39384249e-05     -3.16625287e-01      2.97521973e-03     -2.33234052e-03
0.065000          8.53154428e-03      1.74979386e-01      1.08264574e-01      1.18580142e-05     -2.75261568e-01      2.48199168e-03     -1.94469687e-03
0.070000          7.84827178e-03      1.61478914e-01      9.99205691e-02      1.04579393e-05     -2.54034161e-01      2.18145573e-03     -1.70896408e-03
0.075000          7.36276326e-03      1.52570219e-01      9.44706829e-02      8.96627292e-06     -2.40097838e-01      1.89682456e-03     -1.48609067e-03
0.080000          6.86317219e-03      1.43734525e-01      8.91009096e-02      7.35962039e-06     -2.26320883e-01      1.57662679e-03     -1.23536562e-03
0.085000          6.25012577e-03      1.32618365e-01      8.23294697e-02      5.83357874e-06     -2.08968421e-01      1.22346665e-03     -9.58588856e-04
0.090000          5.54823637e-03      1.19389365e-01      7.42336493e-02      4.60719208e-06     -1.88270609e-01      8.81768774e-04     -6.90544952e-04
0.095000          4.81504879e-03      1.05034774e-01      6.54080355e-02      3.76425875e-06     -1.65759885e-01      5.89140145e-04     -4.60780255e-04
0.100000          4.12402087e-03      9.10474402e-02      5.67727869e-02      3.22870127e-06     -1.43780204e-01      3.67029216e-04     -2.86259713e-04
0.105000          3.51967823e-03      7.84750393e-02      4.89851583e-02      2.87438306e-06     -1.23991075e-01      2.12372876e-04     -1.64691512e-04
0.110000          3.02224784e-03      6.79429160e-02      4.24481731e-02      2.57055878e-06     -1.07396573e-01      1.07223549e-04     -8.20624962e-05
0.115000          2.62021548e-03      5.93988265e-02      3.71460394e-02      2.27967498e-06     -9.39353577e-02      2.91531870e-05     -2.07256463e-05
0.120000          2.29091010e-03      5.25034843e-02      3.28814606e-02      2.01272187e-06     -8.30895874e-02     -4.06092645e-05      3.41491941e-05
0.125000          2.00750042e-03      4.67165284e-02      2.93234265e-02      1.82806414e-06     -7.40133318e-02     -1.09445915e-04      8.84951592e-05
0.130000          1.75028693e-03      4.15805027e-02      2.61852067e-02      1.76291947e-06     -6.59822441e-02     -1.77293304e-04      1.42352040e-04
0.135000          1.50941331e-03      3.67856400e-02      2.32646361e-02      1.81817834e-06     -5.84957469e-02     -2.37259853e-04      1.90325831e-04
0.140000          1.28378368e-03      3.22165606e-02      2.04787919e-02      1.95289491e-06     -5.13578512e-02     -2.83072702e-04      2.27402165e-04
0.145000          1.07746205e-03      2.78865830e-02      1.78251063e-02      2.10400718e-06     -4.45760138e-02     -3.10120864e-04      2.49803367e-04
0.150000          8.95010001e-04      2.38779908e-02      1.53492310e-02      2.22043659e-06     -3.82732610e-02     -3.18932187e-04      2.57761014e-04
0.155000          7.39624626e-04      2.02763182e-02      1.31027655e-02      2.26982494e-06     -3.25827035e-02     -3.12471495e-04      2.53446106e-04
0.160000          6.10886504e-04      1.71243281e-02      1.11161974e-02      2.25572389e-06     -2.75768682e-02     -2.95727442e-04      2.40700916e-04
0.165000          5.06537712e-04      1.44271624e-02      9.39841378e-03      2.19408919e-06     -2.32711042e-02     -2.73137519e-04      2.23009180e-04
0.170000          4.22740541e-04      1.21504397e-02      7.93480615e-03      2.10870302e-06     -1.96196570e-02     -2.47979227e-04      2.03022223e-04
0.175000          3.55981906e-04      1.02479867e-02      6.70184778e-03      2.01227170e-06     -1.65560486e-02     -2.22138368e-04      1.82322180e-04
0.180000          3.03180039e-04      8.66871590e-03      5.67147040e-03      1.90855516e-06     -1.40041032e-02     -1.96594259e-04      1.61782612e-04
0.185000          2.62080182e-04      7.36748460e-03      4.81712385e-03      1.79363436e-06     -1.18942853e-02     -1.72051228e-04      1.42014626e-04
0.190000          2.30693422e-04      6.30157834e-03      4.11283560e-03      1.66351024e-06     -1.01597822e-02     -1.49141622e-04      1.23539784e-04
0.195000          2.07026333e-04      5.42947935e-03      3.53280139e-03      1.52022332e-06     -8.73510639e-03     -1.28521844e-04      1.06853604e-04
0.200000          1.89018429e-04      4.71077422e-03      3.05203110e-03      1.36952913e-06     -7.55681454e-03     -1.10558541e-04      9.22166666e-05
0.205000          1.74564450e-04      4.10705472e-03      2.64705793e-03      1.22050279e-06     -6.56512856e-03     -9.52117848e-05      7.95716456e-05
0.210000          1.62061256e-04      3.59011821e-03      2.30073922e-03      1.07905404e-06     -5.71639687e-03     -8.20783856e-05      6.86000256e-05
0.215000          1.50419152e-04      3.14140682e-03      2.00177374e-03      9.48292202e-07     -4.98199514e-03     -7.05787364e-05      5.88641706e-05
0.220000          1.39490557e-04      2.75787548e-03      1.74779878e-03      8.28535689e-07     -4.35676204e-03     -6.04165389e-05      5.01663380e-05
0.225000          1.29609962e-04      2.44335449e-03      1.54025396e-03      7.20526327e-07     -3.84567343e-03     -5.15819683e-05      4.25363871e-05
0.230000          1.21537106e-04      2.20582414e-03      1.38254922e-03      6.28636031e-07     -3.45928850e-03     -4.45617071e-05      3.63853147e-05
0.235000          1.15921335e-04      2.04833684e-03      1.27499556e-03      5.58996893e-07     -3.20023227e-03     -3.98710034e-05      3.21332104e-05
0.240000          1.13135030e-04      1.96569462e-03      1.21290728e-03      5.18924268e-07     -3.05816788e-03     -3.79139612e-05      3.00960614e-05
0.245000          1.13087621e-04      1.94334718e-03      1.18639505e-03      5.10599070e-07     -3.00876491e-03     -3.85587851e-05      3.01584799e-05
0.250000          1.15326163e-04      1.96035632e-03      1.18215917e-03      5.31199625e-07     -3.01834111e-03     -4.12298365e-05      3.18504223e-05
0.255000          1.19120417e-04      1.99482261e-03      1.18708210e-03      5.70360036e-07     -3.05279424e-03     -4.49500964e-05      3.43896885e-05
0.260000          1.23651036e-04      2.02709918e-03      1.18986949e-03      6.15249886e-07     -3.08220172e-03     -4.86884682e-05      3.69572940e-05
