# Pepsi-SAXS version 2.6 from 29 Jan 2020
# Run at isabelsmacbookpro.local on Thu Oct 16 14:25:52 2025
# Command-line arguments: /Users/isabelvinterbladh/Downloads/Pepsi-SAXS SASDAC2_fit1_model1.pdb 
# Intensities are written in cm-1
# r0:   1.61 d_rho:   0.06
#     q                   I                 Iat                 Iev                 Ihs            <AatAev>            <AatAhs>            <AevAhs>
0.000000          1.10805145e-02      1.93880811e-01      1.14575889e-01      1.18036144e-05     -2.98087680e-01      3.02555405e-03     -2.32586295e-03
0.005000          1.10258359e-02      1.92969605e-01      1.14038127e-01      1.16663965e-05     -2.96687563e-01      3.00097623e-03     -2.30697592e-03
0.010000          1.09617540e-02      1.91901064e-01      1.13407536e-01      1.15078207e-05     -2.95045724e-01      2.97233860e-03     -2.28496909e-03
0.015000          1.08788656e-02      1.90517852e-01      1.12591288e-01      1.13065291e-05     -2.92920440e-01      2.93558136e-03     -2.25672264e-03
0.020000          1.07677674e-02      1.88662634e-01      1.11496554e-01      1.10411639e-05     -2.90069990e-01      2.88664468e-03     -2.21911677e-03
0.025000          1.06190887e-02      1.86178617e-01      1.10030826e-01      1.06904552e-05     -2.86253485e-01      2.82148395e-03     -2.16904332e-03
0.030000          1.04279192e-02      1.82983054e-01      1.08145301e-01      1.02451426e-05     -2.81343822e-01      2.73812927e-03     -2.10498841e-03
0.035000          1.01982994e-02      1.79141802e-01      1.05878896e-01      9.72006792e-06     -2.75442256e-01      2.63877443e-03     -2.02863756e-03
0.040000          9.93534001e-03      1.74738480e-01      1.03281008e-01      9.13295338e-06     -2.68677333e-01      2.52611085e-03     -1.94205870e-03
0.045000          9.64415138e-03      1.69856706e-01      1.00401036e-01      8.50152140e-06     -2.61177602e-01      2.40282999e-03     -1.84731976e-03
0.050000          9.32979383e-03      1.64579263e-01      9.72878850e-02      7.84333494e-06     -2.53070327e-01      2.27159951e-03     -1.74647040e-03
0.055000          8.99603223e-03      1.58967393e-01      9.39777294e-02      7.17184647e-06     -2.44449648e-01      2.13447435e-03     -1.64108912e-03
0.060000          8.64525302e-03      1.53059416e-01      9.04931975e-02      6.49613445e-06     -2.35374461e-01      1.99285742e-03     -1.53225306e-03
0.065000          8.27977580e-03      1.46892539e-01      8.68562610e-02      5.82506521e-06     -2.25901954e-01      1.84812000e-03     -1.42101504e-03
0.070000          7.90192017e-03      1.40503970e-01      8.30888910e-02      5.16750510e-06     -2.16089314e-01      1.70163338e-03     -1.30842788e-03
0.075000          7.51405051e-03      1.33931726e-01      7.92135317e-02      4.53213878e-06     -2.05994964e-01      1.55477009e-03     -1.19554537e-03
0.080000          7.11897127e-03      1.27221766e-01      7.52572695e-02      3.92586630e-06     -1.95689475e-01      1.40891490e-03     -1.08343058e-03
0.085000          6.71973665e-03      1.20424560e-01      7.12498263e-02      3.35457476e-06     -1.85250311e-01      1.26545954e-03     -9.73151904e-04
0.090000          6.31940374e-03      1.13590626e-01      6.72209540e-02      2.82413964e-06     -1.74755018e-01      1.12579580e-03     -8.65777767e-04
