# Pepsi-SAXS version 2.6 from 29 Jan 2020
# Run at isabelsmacbookpro.local on Thu Oct 16 14:26:02 2025
# Command-line arguments: /Users/isabelvinterbladh/Downloads/Pepsi-SAXS SASDAH2_fit1_model1.pdb 
# Intensities are written in cm-1
# r0:   1.62 d_rho:   0.06
#     q                   I                 Iat                 Iev                 Ihs            <AatAev>            <AatAhs>            <AevAhs>
0.000000          1.18866213e-02      2.40062626e-01      1.48066692e-01      1.48862559e-05     -3.77069112e-01      3.78081138e-03     -2.96928184e-03
0.005000          1.18207608e-02      2.38834279e-01      1.47316654e-01      1.47047290e-05     -3.75149326e-01      3.74819517e-03     -2.94374597e-03
0.010000          1.17413649e-02      2.37352019e-01      1.46411522e-01      1.44890533e-05     -3.72832631e-01      3.70910580e-03     -2.91314021e-03
0.015000          1.16348980e-02      2.35361935e-01      1.45196201e-01      1.42050798e-05     -3.69722119e-01      3.65707012e-03     -2.87239468e-03
0.020000          1.14878246e-02      2.32610114e-01      1.43515596e-01      1.38186597e-05     -3.65420880e-01      3.58561495e-03     -2.81643950e-03
0.025000          1.12875724e-02      2.28860504e-01      1.41225513e-01      1.32984829e-05     -3.59559912e-01      3.48875923e-03     -2.74058991e-03
0.030000          1.10333756e-02      2.24095979e-01      1.38315377e-01      1.26480383e-05     -3.52112300e-01      3.36655414e-03     -2.64488222e-03
0.035000          1.07323859e-02      2.18446221e-01      1.34864215e-01      1.18941503e-05     -3.43280521e-01      3.22309592e-03     -2.53251858e-03
0.040000          1.03919008e-02      2.12043622e-01      1.30952706e-01      1.10640738e-05     -3.33271286e-01      3.06255547e-03     -2.40675956e-03
0.045000          1.00191996e-02      2.05020227e-01      1.26661319e-01      1.01850020e-05     -3.22290767e-01      2.88909416e-03     -2.27085826e-03
0.050000          9.62017563e-03      1.97482224e-01      1.22054710e-01      9.27951162e-06     -3.10504689e-01      2.70616237e-03     -2.12751117e-03
0.055000          9.19840069e-03      1.89492479e-01      1.17171044e-01      8.36244513e-06     -2.98011021e-01      2.51601931e-03     -1.97848220e-03
0.060000          8.75722518e-03      1.81109724e-01      1.12045958e-01      7.44790728e-06     -2.84901269e-01      2.32081054e-03     -1.82544629e-03
0.065000          8.29999945e-03      1.72392695e-01      1.06715089e-01      6.55000280e-06     -2.71266938e-01      2.12268162e-03     -1.67007841e-03
0.070000          7.83024343e-03      1.63403601e-01      1.01216201e-01      5.68229668e-06     -2.57204970e-01      1.92379988e-03     -1.51407105e-03
0.075000          7.35224977e-03      1.54220511e-01      9.55967415e-02      4.85589379e-06     -2.42837094e-01      1.72643171e-03     -1.35919668e-03
0.080000          6.87053118e-03      1.44926007e-01      8.99069154e-02      4.08119851e-06     -2.28292094e-01      1.53287173e-03     -1.20725054e-03
0.085000          6.38960039e-03      1.35602671e-01      8.41969289e-02      3.36861515e-06     -2.13698755e-01      1.34541456e-03     -1.06002790e-03
0.090000          5.91391068e-03      1.26332103e-01      7.85163922e-02      2.72813126e-06     -1.99184333e-01      1.16630504e-03     -9.19285248e-04
0.095000          5.44705577e-03      1.17181696e-01      7.29062989e-02      2.16370821e-06     -1.84853952e-01      9.97068125e-04     -7.86218710e-04
0.100000          4.99198268e-03      1.08208152e-01      6.74011598e-02      1.67477343e-06     -1.70796088e-01      8.38687177e-04     -6.61602813e-04
0.105000          4.55162264e-03      9.94679126e-02      6.20353275e-02      1.26064363e-06     -1.57098809e-01      6.92132316e-04     -5.46201788e-04
0.110000          4.12890208e-03      9.10173394e-02      5.68431057e-02      9.20616451e-07     -1.43850057e-01      5.58370270e-04     -4.40777217e-04
0.115000          3.72622514e-03      8.29039941e-02      5.18534896e-02      6.51913614e-07     -1.31124105e-01      4.37997489e-04     -3.45802479e-04
0.120000          3.34501140e-03      7.51588518e-02      4.70854671e-02      4.47843430e-07     -1.18969460e-01      3.30912411e-04     -2.61207643e-04
0.125000          2.98657136e-03      6.78110496e-02      4.25569174e-02      3.01280669e-07     -1.07431770e-01      2.36936143e-04     -1.86862589e-04
0.130000          2.65221551e-03      6.08897249e-02      3.82857197e-02      2.05100099e-07     -9.65566867e-02      1.55889791e-04     -1.22637199e-04
0.135000          2.34304837e-03      5.44203240e-02      3.42875278e-02      1.52081522e-07     -8.63841271e-02      8.74960314e-05     -6.83244352e-05
0.140000          2.05910374e-03      4.84091077e-02      3.05664280e-02      1.34511061e-07     -7.69242149e-02      3.09658842e-05     -2.33174274e-05
0.145000          1.80006861e-03      4.28561222e-02      2.71227595e-02      1.44514937e-07     -6.81774224e-02     -1.46553632e-05      1.31202026e-05
0.150000          1.56562980e-03      3.77614105e-02      2.39568597e-02      1.74219290e-07     -6.01442170e-02     -5.03225075e-05      4.17248997e-05
0.155000          1.35544329e-03      3.31244127e-02      2.10687023e-02      2.15860882e-07     -5.28241295e-02     -7.69948132e-05      6.32367388e-05
0.160000          1.16863384e-03      2.89341775e-02      1.84519928e-02      2.63583250e-07     -4.62005499e-02     -9.57085471e-05      7.84583555e-05
0.165000          1.00387817e-03      2.51709894e-02      1.60951501e-02      3.13138057e-07     -4.02432547e-02     -1.07564918e-04      8.82451485e-05
0.170000          8.59838981e-04      2.18148586e-02      1.39864274e-02      3.60327318e-07     -3.49215944e-02     -1.13667167e-04      9.34541683e-05
0.175000          7.35178424e-04      1.88457809e-02      1.21140695e-02      4.00960193e-07     -3.02048970e-02     -1.15118001e-04      9.49420595e-05
0.180000          6.28464720e-04      1.62412807e-02      1.04648098e-02      4.32071692e-07     -2.60586256e-02     -1.12928130e-04      9.34957840e-05
0.185000          5.38066470e-04      1.39736301e-02      9.02217034e-03      4.53302186e-07     -2.24400288e-02     -1.07912741e-04      8.97542041e-05
0.190000          4.62326739e-04      1.20144293e-02      7.76926219e-03      4.64625312e-07     -1.93053046e-02     -1.00862008e-04      8.43372378e-05
0.195000          3.99588591e-04      1.03352785e-02      6.68919654e-03      4.66014703e-07     -1.66106512e-02     -9.25661093e-05      7.78648031e-05
0.200000          3.48223367e-04      8.90799834e-03      5.76520024e-03      4.57653617e-07     -1.43125864e-02     -8.37638539e-05      7.09173811e-05
0.205000          3.06770307e-04      7.70571857e-03      4.98118718e-03      4.40970125e-07     -1.23695287e-02     -7.48890245e-05      6.38412604e-05
0.210000          2.73830391e-04      6.70205038e-03      4.32132382e-03      4.17850006e-07     -1.07405950e-02     -6.62632466e-05      5.68966191e-05
0.215000          2.48004692e-04      5.87060565e-03      3.76977705e-03      3.90179747e-07     -9.38490371e-03     -5.82079724e-05      5.03435020e-05
0.220000          2.27907013e-04      5.18518505e-03      3.31082270e-03      3.59832672e-07     -8.26185972e-03     -5.10363725e-05      4.44355205e-05
0.225000          2.12416064e-04      4.62351791e-03      2.93100463e-03      3.28408166e-07     -7.33683802e-03     -4.48892649e-05      3.92923953e-05
0.230000          2.00660852e-04      4.16704561e-03      2.61900965e-03      2.97246774e-07     -6.58085438e-03     -3.97446186e-05      3.49073387e-05
