# Pepsi-SAXS version 2.6 from 29 Jan 2020
# Run at isabelsmacbookpro.local on Thu Oct 16 14:26:43 2025
# Command-line arguments: /Users/isabelvinterbladh/Downloads/Pepsi-SAXS SASDAQ2_fit1_model1.pdb 
# Intensities are written in cm-1
# r0:   1.63 d_rho:   0.06
#     q                   I                 Iat                 Iev                 Ihs            <AatAev>            <AatAhs>            <AevAhs>
0.000000          5.75116910e-03      1.17620904e-01      7.33171997e-02      1.33145502e-05     -1.85727061e-01      2.50285392e-03     -1.97604204e-03
0.005000          5.72729331e-03      1.17191962e-01      7.30538930e-02      1.31776492e-05     -1.85054834e-01      2.48547960e-03     -1.96238439e-03
0.010000          5.70002208e-03      1.16701332e-01      7.27526858e-02      1.30231685e-05     -1.84285890e-01      2.46572494e-03     -1.94685433e-03
0.015000          5.66596000e-03      1.16087330e-01      7.23756776e-02      1.28335285e-05     -1.83323511e-01      2.44120959e-03     -1.92757947e-03
0.020000          5.62171163e-03      1.15288268e-01      7.18849681e-02      1.25911495e-05     -1.82070981e-01      2.40955322e-03     -1.90268739e-03
0.025000          5.56388154e-03      1.14242460e-01      7.12426566e-02      1.22784520e-05     -1.80431583e-01      2.36837548e-03     -1.87030570e-03
0.030000          5.48942015e-03      1.12894367e-01      7.04146138e-02      1.18799908e-05     -1.78318231e-01      2.31555627e-03     -1.82876645e-03
0.035000          5.39842394e-03      1.11244387e-01      6.94010147e-02      1.13997383e-05     -1.75731459e-01      2.25134275e-03     -1.77826162e-03
0.040000          5.29266874e-03      1.09322771e-01      6.82203455e-02      1.08520318e-05     -1.72718570e-01      2.17724570e-03     -1.71997600e-03
0.045000          5.17394612e-03      1.07160053e-01      6.68912642e-02      1.02513060e-05     -1.69327306e-01      2.09478779e-03     -1.65510370e-03
0.050000          5.04404766e-03      1.04786764e-01      6.54324289e-02      9.61199526e-06     -1.65605410e-01      2.00549164e-03     -1.58483882e-03
0.055000          4.90474704e-03      1.02233119e-01      6.38623017e-02      8.94840683e-06     -1.61600124e-01      1.91086657e-03     -1.51036499e-03
0.060000          4.75735049e-03      9.95209982e-02      6.21942292e-02      8.27152155e-06     -1.57345630e-01      1.81207371e-03     -1.43259254e-03
0.065000          4.60266360e-03      9.66633540e-02      6.04360790e-02      7.58875757e-06     -1.52862120e-01      1.70990126e-03     -1.35213904e-03
0.070000          4.44146736e-03      9.36727028e-02      5.85954498e-02      6.90735829e-06     -1.48169104e-01      1.60511910e-03     -1.26960771e-03
0.075000          4.27454282e-03      9.05615602e-02      5.66799403e-02      6.23456713e-06     -1.43286088e-01      1.49849716e-03     -1.18560177e-03
0.080000          4.10267141e-03      8.73424517e-02      5.46971555e-02      5.57762391e-06     -1.38232594e-01      1.39080540e-03     -1.10072452e-03
0.085000          3.92671691e-03      8.40297059e-02      5.26558205e-02      4.94310267e-06     -1.33030990e-01      1.28283022e-03     -1.01559287e-03
0.090000          3.74772134e-03      8.06415572e-02      5.05670881e-02      4.33613506e-06     -1.27709800e-01      1.17539350e-03     -9.30853311e-04
0.095000          3.56675006e-03      7.71967509e-02      4.84424285e-02      3.76166407e-06     -1.22298357e-01      1.06932176e-03     -8.47156186e-04
0.100000          3.38486842e-03      7.37140324e-02      4.62933117e-02      3.22463268e-06     -1.16825990e-01      9.65441529e-04     -7.65151838e-04
0.105000          3.20314179e-03      7.02121471e-02      4.41312080e-02      2.72998389e-06     -1.11322032e-01      8.64579339e-04     -6.85490610e-04
0.110000          3.02258375e-03      6.67091129e-02      4.19671502e-02      2.28185576e-06     -1.05814686e-01      7.67495877e-04     -6.08771454e-04
0.115000          2.84396532e-03      6.32195398e-02      3.98101224e-02      1.88061494e-06     -1.00326868e-01      6.74643371e-04     -5.35352544e-04
0.120000          2.66798656e-03      5.97570408e-02      3.76685091e-02      1.52552451e-06     -9.48799511e-02      5.86383783e-04     -4.65521593e-04
0.125000          2.49534752e-03      5.63352285e-02      3.55506948e-02      1.21584737e-06     -8.94953044e-02      5.03079063e-04     -3.99566308e-04
0.130000          2.32674822e-03      5.29677156e-02      3.34650639e-02      9.50846435e-07     -8.41942989e-02      4.25091162e-04     -3.37774393e-04
0.135000          2.16287070e-03      4.96678415e-02      3.14198355e-02      7.29631040e-07     -7.89978799e-02      3.52761272e-04     -2.80417283e-04
0.140000          2.00420025e-03      4.64459636e-02      2.94214249e-02      5.49634050e-07     -7.39223531e-02      2.86203991e-04     -2.27588799e-04
0.145000          1.85110111e-03      4.33106035e-02      2.74751368e-02      4.07256384e-07     -6.89811675e-02      2.25394439e-04     -1.79273435e-04
0.150000          1.70393572e-03      4.02702561e-02      2.55862598e-02      2.98883862e-07     -6.41877307e-02      1.70305698e-04     -1.35454085e-04
0.155000          1.56306653e-03      3.73334161e-02      2.37600824e-02      2.20902301e-07     -5.95554501e-02      1.20910844e-04     -9.61136434e-05
0.160000          1.42885190e-03      3.45085057e-02      2.20018487e-02      1.69696565e-07     -5.50976194e-02      7.71796411e-05     -6.12323822e-05
0.165000          1.30150949e-03      3.18014462e-02      2.03152705e-02      1.41618584e-07     -5.08236161e-02      3.89675767e-05     -3.07003149e-05
0.170000          1.18108395e-03      2.92150852e-02      1.87021763e-02      1.32979814e-07     -4.67380037e-02      5.98968146e-06     -4.29651157e-06
0.175000          1.06760933e-03      2.67520811e-02      1.71642791e-02      1.40089223e-07     -4.28450501e-02     -2.20476390e-05      1.82067703e-05
0.180000          9.61119686e-04      2.44150929e-02      1.57032917e-02      1.59255779e-07     -3.91490234e-02     -4.54379791e-05      3.70372731e-05
0.185000          8.61648923e-04      2.22067761e-02      1.43209252e-02      1.86789581e-07     -3.56541870e-02     -6.44749808e-05      5.24227779e-05
0.190000          7.69176716e-04      2.01286414e-02      1.30181816e-02      2.19441787e-07     -3.23630011e-02     -7.94708870e-05      6.46061437e-05
0.195000          6.83546428e-04      1.81793213e-02      1.17942806e-02      2.55072109e-07     -2.92733939e-02     -9.07846913e-05      7.38681258e-05
0.200000          6.04580346e-04      1.63570030e-02      1.06481661e-02      2.91711660e-07     -2.63825932e-02     -9.87826159e-05      8.04953394e-05
0.205000          5.32100756e-04      1.46598740e-02      9.57878225e-03      3.27391553e-07     -2.36878264e-02     -1.03830883e-04      8.47743993e-05
0.210000          4.65929945e-04      1.30861218e-02      8.58507313e-03      3.60142900e-07     -2.11863213e-02     -1.06295714e-04      8.69919206e-05
0.215000          4.05878300e-04      1.16336118e-02      7.66578182e-03      3.88206338e-07     -1.88747966e-02     -1.06535462e-04      8.74284885e-05
0.220000          3.51690803e-04      1.02984410e-02      6.81854670e-03      4.10974121e-07     -1.67471742e-02     -1.04865217e-04      8.63315467e-05
0.225000          3.03090086e-04      9.07610176e-03      6.04062861e-03      4.28232090e-07     -1.47964204e-02     -1.01585285e-04      8.39372119e-05
0.230000          2.59798759e-04      7.96208583e-03      5.32928805e-03      4.39766425e-07     -1.30155005e-02     -9.69959595e-05      8.04815912e-05
0.235000          2.21539433e-04      6.95188509e-03      4.68178554e-03      4.45363306e-07     -1.13973798e-02     -9.13975343e-05      7.62007916e-05
0.240000          1.88034070e-04      6.04095115e-03      4.09535647e-03      4.44846295e-07     -9.93496016e-03     -8.50850670e-05      7.13268278e-05
0.245000          1.58996022e-04      5.22420307e-03      3.56690377e-03      4.38533896e-07     -8.62030259e-03     -7.82842963e-05      6.60375314e-05
0.250000          1.34132548e-04      4.49618274e-03      3.09309486e-03      4.27095153e-07     -7.44487263e-03     -7.11718661e-05      6.04723589e-05
0.255000          1.13150777e-04      3.85142405e-03      2.67059218e-03      4.11206533e-07     -6.40012323e-03     -6.39233811e-05      5.47699545e-05
0.260000          9.57578397e-05      3.28446089e-03      2.29605819e-03      3.91544500e-07     -5.47750730e-03     -5.67144456e-05      4.90689623e-05
0.265000          8.16611310e-05      2.78982972e-03      1.96615700e-03      3.68785904e-07     -4.66848195e-03     -4.97196884e-05      4.35072625e-05
0.270000          7.05806693e-05      2.36218748e-03      1.67763178e-03      3.43625743e-07     -3.96470123e-03     -4.30676252e-05      3.81866431e-05
0.275000          6.22542938e-05      1.99636124e-03      1.42733731e-03      3.16784647e-07     -3.35809731e-03     -3.68216644e-05      3.31579321e-05
0.280000          5.64211895e-05      1.68719093e-03      1.21213680e-03      2.88985180e-07     -2.84062333e-03     -3.10402967e-05      2.84681085e-05
0.285000          5.28205416e-05      1.42951648e-03      1.02889344e-03      2.60949904e-07     -2.40423246e-03     -2.57820126e-05      2.41641514e-05
0.290000          5.11915458e-05      1.21817800e-03      8.74470580e-04      2.33401312e-07     -2.04087818e-03     -2.11052878e-05      2.02930282e-05
0.295000          5.12858413e-05      1.04824876e-03      7.45879012e-04      2.06977401e-07     -1.74288593e-03     -1.70511355e-05      1.68881613e-05
0.300000          5.28914760e-05      9.15484080e-04      6.40561020e-04      1.82068950e-07     -1.50366956e-03     -1.36094736e-05      1.39433406e-05
0.305000          5.58031218e-05      8.15763408e-04      5.56037386e-04      1.59021759e-07     -1.31684092e-03     -1.07609242e-05      1.14451452e-05
0.310000          5.98154506e-05      7.44966181e-04      4.89828897e-04      1.38181629e-07     -1.17601185e-03     -8.48610926e-06      9.38015458e-06
0.315000          6.47231345e-05      6.98971839e-04      4.39456335e-04      1.19894358e-07     -1.07479423e-03     -6.76565085e-06      7.73494791e-06
