# Pepsi-SAXS version 2.6 from 29 Jan 2020
# Run at isabelsmacbookpro.local on Thu Oct 16 14:25:01 2025
# Command-line arguments: /Users/isabelvinterbladh/Downloads/Pepsi-SAXS SASDAW3_fit1_model1.pdb 
# Intensities are written in cm-1
# r0:   1.62 d_rho:   0.06
#     q                   I                 Iat                 Iev                 Ihs            <AatAev>            <AatAhs>            <AevAhs>
0.000000          5.59002518e-02      1.03745695e+00      6.43069611e-01      3.91733019e-04     -1.63359363e+00      4.03190348e-02     -3.17434466e-02
0.005000          5.47747692e-02      1.01699605e+00      6.30351643e-01      3.81205290e-04     -1.60133085e+00      3.93799471e-02     -3.10032274e-02
0.010000          5.28447412e-02      9.81865419e-01      6.08519608e-01      3.63482498e-04     -1.54594220e+00      3.77830882e-02     -2.97446608e-02
0.015000          4.94640310e-02      9.20272323e-01      5.70248326e-01      3.32879973e-04     -1.44883904e+00      3.50041799e-02     -2.75546376e-02
0.020000          4.49191685e-02      8.37362903e-01      5.18745085e-01      2.92605834e-04     -1.31814668e+00      3.13049140e-02     -2.46396637e-02
0.025000          3.98137054e-02      7.44048327e-01      4.60801532e-01      2.48845962e-04     -1.17108192e+00      2.72123712e-02     -2.14154488e-02
0.030000          3.45463857e-02      6.47585117e-01      4.00934293e-01      2.05434921e-04     -1.01909466e+00      2.30653575e-02     -1.81491524e-02
0.035000          2.94051410e-02      5.53254628e-01      3.42430097e-01      1.64918110e-04     -8.70517578e-01      1.90999360e-02     -1.50268599e-02
0.040000          2.46273031e-02      4.65467080e-01      2.88028304e-01      1.29015204e-04     -7.32302281e-01      1.54931093e-02     -1.21879246e-02
0.045000          2.04094273e-02      3.87925862e-01      2.40024463e-01      9.88102329e-05     -6.10280213e-01      1.23755681e-02     -9.73506322e-03
0.050000          1.68451324e-02      3.22435020e-01      1.99529988e-01      7.45078303e-05     -5.07283439e-01      9.79300375e-03     -7.70394766e-03
0.055000          1.39223846e-02      2.68847113e-01      1.66439766e-01      5.54214347e-05     -4.23062453e-01      7.70439660e-03     -6.06186021e-03
0.060000          1.15902274e-02      2.26249943e-01      1.40173658e-01      4.07563560e-05     -3.56162288e-01      6.04792624e-03     -4.75976763e-03
0.065000          9.74866760e-03      1.92759499e-01      1.19548188e-01      2.96216723e-05     -3.03596540e-01      4.73760628e-03     -3.72970717e-03
0.070000          8.29599136e-03      1.66436156e-01      1.03347777e-01      2.12266821e-05     -2.62294222e-01      3.69414159e-03     -2.90908802e-03
0.075000          7.13471455e-03      1.45380425e-01      9.03866756e-02      1.49993717e-05     -2.29253807e-01      2.85563264e-03     -2.24921076e-03
0.080000          6.17872635e-03      1.27911693e-01      7.96177023e-02      1.04485897e-05     -2.01822075e-01      2.17058189e-03     -1.70962451e-03
0.085000          5.37359487e-03      1.12973580e-01      7.03872976e-02      7.24177452e-06     -1.78337181e-01      1.61168570e-03     -1.26902923e-03
0.090000          4.67597443e-03      9.97361788e-02      6.21842902e-02      5.08494246e-06     -1.57496423e-01      1.15790952e-03     -9.11066136e-04
0.095000          4.06529789e-03      8.78526290e-02      5.48003116e-02      3.72599238e-06     -1.38761974e-01      7.96244634e-04     -6.25639435e-04
0.100000          3.52812980e-03      7.71272231e-02      4.81214091e-02      2.93182671e-06     -1.21834924e-01      5.15703073e-04     -4.04213396e-04
0.105000          3.05771349e-03      6.75053555e-02      4.21199718e-02      2.51867406e-06     -1.06637120e-01      3.04555540e-04     -2.37567868e-04
0.110000          2.64984784e-03      5.89843315e-02      3.67998384e-02      2.32789801e-06     -9.31712296e-02      1.50828427e-04     -1.16248749e-04
0.115000          2.30000880e-03      5.15348351e-02      3.21455613e-02      2.25809015e-06     -8.13945035e-02      4.29587794e-05     -3.11010231e-05
0.120000          2.00345556e-03      4.51109508e-02      2.81297792e-02      2.24125485e-06     -7.12360169e-02     -3.02563696e-05      2.67575799e-05
0.125000          1.75491595e-03      3.96393223e-02      2.47068480e-02      2.23633828e-06     -6.25800678e-02     -7.80048734e-05      6.45819929e-05
0.130000          1.54870509e-03      3.50252586e-02      2.18169421e-02      2.22328491e-06     -5.52761829e-02     -1.07857005e-04      8.83209061e-05
0.135000          1.37911313e-03      3.11709522e-02      1.93988646e-02      2.19027457e-06     -4.91697098e-02     -1.25978707e-04      1.02794464e-04
0.140000          1.24041599e-03      2.79758293e-02      1.73903525e-02      2.13394711e-06     -4.41024811e-02     -1.37040801e-04      1.11622059e-04
0.145000          1.12695485e-03      2.53398757e-02      1.57301925e-02      2.05724509e-06     -3.99180809e-02     -1.44855729e-04      1.17766067e-04
0.150000          1.03317315e-03      2.31641513e-02      1.43588555e-02      1.97206392e-06     -3.64630435e-02     -1.52039834e-04      1.23277692e-04
0.155000          9.53863969e-04      2.13516956e-02      1.32179044e-02      1.89210849e-06     -3.35868183e-02     -1.60415032e-04      1.29605268e-04
0.160000          8.84555321e-04      1.98096215e-02      1.22509513e-02      1.83336274e-06     -3.11446060e-02     -1.70307888e-04      1.37062976e-04
0.165000          8.21393847e-04      1.84523618e-02      1.14055540e-02      1.80831713e-06     -2.90023691e-02     -1.81499094e-04      1.45537970e-04
0.170000          7.62150431e-04      1.72154290e-02      1.06406922e-02      1.81769838e-06     -2.70571599e-02     -1.92677514e-04      1.54048941e-04
0.175000          7.05233553e-04      1.60453154e-02      9.92166821e-03      1.85755901e-06     -2.52227123e-02     -2.02374088e-04      1.61478761e-04
0.180000          6.50521516e-04      1.49198801e-02      9.23247771e-03      1.91305032e-06     -2.34612440e-02     -2.09362000e-04      1.66856652e-04
0.185000          5.98356887e-04      1.38285191e-02      8.56417922e-03      1.96666537e-06     -2.17530459e-02     -2.12623473e-04      1.69361201e-04
0.190000          5.49397439e-04      1.27783059e-02      7.91962671e-03      2.00383760e-06     -2.01073513e-02     -2.12083545e-04      1.68895766e-04
0.195000          5.04383664e-04      1.17832825e-02      7.30643970e-03      2.01210576e-06     -1.85449500e-02     -2.08098524e-04      1.65697878e-04
0.200000          4.63573277e-04      1.08542770e-02      6.73127994e-03      1.98816838e-06     -1.70828778e-02     -2.01464085e-04      1.60369977e-04
0.205000          4.26920051e-04      9.99966954e-03      6.19990409e-03      1.93432865e-06     -1.57350869e-02     -1.93219518e-04      1.53718498e-04
0.210000          3.94033849e-04      9.21869227e-03      5.71251443e-03      1.85683959e-06     -1.45012396e-02     -1.84185189e-04      1.46395127e-04
0.215000          3.64247425e-04      8.50300646e-03      5.26469661e-03      1.76509457e-06     -1.33691460e-02     -1.74989179e-04      1.38914458e-04
0.220000          3.36976036e-04      7.84223397e-03      4.85039267e-03      1.66693697e-06     -1.23229082e-02     -1.65972940e-04      1.31563593e-04
0.225000          3.11742118e-04      7.22396689e-03      4.46184599e-03      1.56829132e-06     -1.13428569e-02     -1.57154355e-04      1.24372181e-04
0.230000          2.88260223e-04      6.63945357e-03      4.09344145e-03      1.47306798e-06     -1.04149294e-02     -1.48500269e-04      1.17321819e-04
0.235000          2.66545081e-04      6.08602372e-03      3.74317232e-03      1.38210138e-06     -9.53444851e-03     -1.39924335e-04      1.10339776e-04
0.240000          2.46671687e-04      5.56387037e-03      3.41096423e-03      1.29572309e-06     -8.70145614e-03     -1.31403535e-04      1.03401034e-04
0.245000          2.28790660e-04      5.07847330e-03      3.10041336e-03      1.21375174e-06     -7.92483999e-03     -1.23070641e-04      9.66008889e-05
0.250000          2.13004126e-04      4.63530581e-03      2.81525883e-03      1.13621168e-06     -7.21366816e-03     -1.15091101e-04      9.00625372e-05
0.255000          1.99219149e-04      4.23738984e-03      2.55802525e-03      1.06404301e-06     -6.57353930e-03     -1.07666790e-04      8.39461077e-05
0.260000          1.87267420e-04      3.88602922e-03      2.33019601e-03      9.98326091e-07     -6.00737622e-03     -1.00974792e-04      7.83948787e-05
0.265000          1.76810422e-04      3.57665261e-03      2.12942278e-03      9.39905458e-07     -5.50860278e-03     -9.50356316e-05      7.34335330e-05
0.270000          1.67462498e-04      3.30270057e-03      1.95202674e-03      8.89394676e-07     -5.06738602e-03     -8.98052257e-05      6.90370408e-05
0.275000          1.58869301e-04      3.05609775e-03      1.79309638e-03      8.46259428e-07     -4.67113646e-03     -8.51154939e-05      6.50808646e-05
0.280000          1.50703008e-04      2.82840392e-03      1.64736161e-03      8.09436292e-07     -4.30652375e-03     -8.07485201e-05      6.14003127e-05
0.285000          1.42777491e-04      2.61447208e-03      1.51154596e-03      7.77563890e-07     -3.96535102e-03     -7.65350344e-05      5.78679419e-05
0.290000          1.35000489e-04      2.41136206e-03      1.38371281e-03      7.49126757e-07     -3.64286576e-03     -7.23417374e-05      5.43839931e-05
0.295000          1.27388025e-04      2.21905880e-03      1.26375907e-03      7.23144488e-07     -3.33894488e-03     -6.81375634e-05      5.09294606e-05
0.300000          1.20049996e-04      2.04006124e-03      1.15315552e-03      6.99105666e-07     -3.05744103e-03     -6.39802686e-05      4.75554307e-05
0.305000          1.13125729e-04      1.87678124e-03      1.05323414e-03      6.76544602e-07     -2.80194668e-03     -5.99386534e-05      4.43191427e-05
0.310000          1.06786190e-04      1.73140572e-03      9.65082839e-04      6.55026399e-07     -2.57554861e-03     -5.60907147e-05      4.12819363e-05
0.315000          1.01177512e-04      1.60476968e-03      8.88887100e-04      6.33663592e-07     -2.37911051e-03     -5.24656538e-05      3.84632352e-05
0.320000          9.64000955e-05      1.49542354e-03      8.23317186e-04      6.10793845e-07     -2.20975348e-03     -4.90084549e-05      3.58105117e-05
0.325000          9.25131694e-05      1.40130453e-03      7.66717046e-04      5.84817883e-07     -2.06370247e-03     -4.56499492e-05      3.32592017e-05
0.330000          8.94868629e-05      1.31940255e-03      7.16997466e-04      5.54473124e-07     -1.93589364e-03     -4.23065628e-05      3.07325707e-05
0.335000          8.72605617e-05      1.24694124e-03      6.72312620e-04      5.19172045e-07     -1.82176612e-03     -3.89250422e-05      2.81786937e-05
0.340000          8.57120631e-05      1.18246341e-03      6.31900689e-04      4.80527998e-07     -1.71920550e-03     -3.55664533e-05      2.56393902e-05
0.345000          8.47082126e-05      1.12502448e-03      5.95381827e-04      4.40853958e-07     -1.62699635e-03     -3.23302534e-05      2.31876527e-05
0.350000          8.41292855e-05      1.07482921e-03      5.63117851e-04      4.03576368e-07     -1.54578802e-03     -2.93843387e-05      2.09510007e-05
0.355000          8.38665099e-05      1.03238253e-03      5.35642416e-04      3.72249841e-07     -1.47668876e-03     -2.69072445e-05      1.90653218e-05
0.360000          8.38621465e-05      9.97649571e-04      5.12972635e-04      3.48653798e-07     -1.41971474e-03     -2.49896550e-05      1.75956787e-05
0.365000          8.40835461e-05      9.70265202e-04      4.94829256e-04      3.33580995e-07     -1.37423950e-03     -2.36720675e-05      1.65670783e-05
0.370000          8.45147377e-05      9.48914294e-04      4.80259143e-04      3.25886728e-07     -1.33802068e-03     -2.28828989e-05      1.59189931e-05
0.375000          8.51493309e-05      9.31659751e-04      4.67872760e-04      3.23167107e-07     -1.30776443e-03     -2.24768015e-05      1.55348837e-05
0.380000          8.59552902e-05      9.16587611e-04      4.56388326e-04      3.23228118e-07     -1.28034048e-03     -2.23027317e-05      1.52993369e-05
0.385000          8.68762916e-05      9.01831580e-04      4.44643136e-04      3.24113152e-07     -1.25281561e-03     -2.22069248e-05      1.50999966e-05
0.390000          8.78355191e-05      8.86145211e-04      4.31963733e-04      3.24776062e-07     -1.22337909e-03     -2.20860031e-05      1.48668928e-05
0.395000          8.87310619e-05      8.69079899e-04      4.18302089e-04      3.25329451e-07     -1.19165911e-03     -2.19016766e-05      1.45845336e-05
0.400000          8.94680405e-05      8.50531065e-04      4.03842334e-04      3.25906920e-07     -1.15784815e-03     -2.16357444e-05      1.42526320e-05
0.405000          8.99672982e-05      8.30920954e-04      3.89113713e-04      3.26541616e-07     -1.12298724e-03     -2.12985577e-05      1.38918877e-05
0.410000          9.01676783e-05      8.10644356e-04      3.74596373e-04      3.26891894e-07     -1.08802241e-03     -2.08925164e-05      1.35149851e-05
