 05-Oct-2006       (vang_036.da - 1.000 *Avrag00.dat) /  2.3000               
vang_036.dat  Conc = .23E+01  Mult = .10E+01  N1 =    1  N2 = 2156  SCALE =  1
 Avrag00.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2156  SCALE =  1
  0.203375E+00  0.174083E+03  0.178253E+01
  0.205652E+00  0.174313E+03  0.176467E+01
  0.207929E+00  0.169952E+03  0.168475E+01
  0.210205E+00  0.172965E+03  0.166420E+01
  0.212482E+00  0.171374E+03  0.160792E+01
  0.214758E+00  0.168752E+03  0.159632E+01
  0.217035E+00  0.169165E+03  0.157394E+01
  0.219312E+00  0.165943E+03  0.152632E+01
  0.221588E+00  0.166961E+03  0.151689E+01
  0.223865E+00  0.164852E+03  0.145561E+01
  0.226141E+00  0.165865E+03  0.145010E+01
  0.228418E+00  0.161165E+03  0.139812E+01
  0.230694E+00  0.163000E+03  0.138780E+01
  0.232971E+00  0.163317E+03  0.138765E+01
  0.235248E+00  0.164670E+03  0.132063E+01
  0.237524E+00  0.163535E+03  0.132685E+01
  0.239801E+00  0.160087E+03  0.127622E+01
  0.242077E+00  0.159800E+03  0.127874E+01
  0.244354E+00  0.157643E+03  0.125788E+01
  0.246631E+00  0.157196E+03  0.121584E+01
  0.248907E+00  0.155126E+03  0.121277E+01
  0.251184E+00  0.151543E+03  0.118608E+01
  0.253460E+00  0.152963E+03  0.116763E+01
  0.255737E+00  0.154948E+03  0.115897E+01
  0.258014E+00  0.153231E+03  0.111564E+01
  0.260290E+00  0.152899E+03  0.113481E+01
  0.262567E+00  0.151458E+03  0.109804E+01
  0.264843E+00  0.149163E+03  0.109213E+01
  0.267120E+00  0.150401E+03  0.105516E+01
  0.269396E+00  0.150294E+03  0.105376E+01
  0.271673E+00  0.149671E+03  0.104209E+01
  0.273950E+00  0.150775E+03  0.102196E+01
  0.276226E+00  0.147312E+03  0.101724E+01
  0.278503E+00  0.146022E+03  0.990389E+00
  0.280779E+00  0.145910E+03  0.996986E+00
  0.283056E+00  0.142605E+03  0.968670E+00
  0.285333E+00  0.141490E+03  0.956458E+00
  0.287609E+00  0.141301E+03  0.947392E+00
  0.289886E+00  0.140389E+03  0.931006E+00
  0.292162E+00  0.140461E+03  0.932336E+00
  0.294439E+00  0.139510E+03  0.916593E+00
  0.296715E+00  0.139192E+03  0.891557E+00
  0.298992E+00  0.139310E+03  0.900818E+00
  0.301269E+00  0.136381E+03  0.875214E+00
  0.303545E+00  0.135433E+03  0.888120E+00
  0.305822E+00  0.134599E+03  0.847927E+00
  0.308098E+00  0.133512E+03  0.863136E+00
